sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
SEMISOPOCHNOI/POCHNOI,10,0,0,7,3,1979,25,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
ULAK/HASGOX POINT,10,1,1,7,2,1979,204,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
OUTER (PYE),7,0,1,99,99,1984,1034,99,99,,,Calkins & Pitcher?
UGAMAK COMPLEX,9,1,1,7,99,1989,434,99,99,,,"""Loughlin et al, 1992, Ugamak only"""
WALRUS,12,0,1,8,99,1989,250,99,99,,,"""Loughlin et al, 1992"""
YUNASKA,10,1,1,6,21,2000,136,5,1,,,Loughlin field book
ADUGAK,9,1,1,6,22,2000,153,5,1,,,Loughlin field book
BOGOSLOF/FIRE ISLAND,9,1,1,6,22,2000,249,5,1,,,Loughlin field book
AKUN/BILLINGS HEAD,9,1,1,6,23,2000,41,5,1,,,Loughlin field book
UGAMAK/ROUND,9,1,1,6,25,2000,15,5,1,,,Loughlin field book
PINNACLE ROCK,8,1,1,6,26,2000,634,5,1,,,Loughlin field book
THE WHALEBACK,8,0,0,6,27,2000,12,5,1,,,Loughlin field book
ATKINS,8,1,1,6,28,2000,262,5,1,,,Loughlin field book
LIGHTHOUSE ROCKS,8,0,1,6,28,2000,5,5,1,,,Loughlin field book
CHIRIKOF,7,1,1,6,29,2000,187,5,1,,,Loughlin field book
OUTER (PYE),7,0,1,7,3,2000,108,5,1,,,Towell field book
WOODED (FISH),6,1,1,7,5,2000,149,5,1,,,"""Towell, Thomason & Fadely field notes"""
CHISWELL ISLANDS,6,1,1,7,6,2000,58,5,1,,,Towell + others count (no written record?)
AMCHITKA/EAST CAPE,10,1,0,6,11,2001,5,5,99,,,count from USFWS
